Id	Edition	Country	MedalCount
2	1948	West Germany	0
2	1952	West Germany	0
2	1956	West Germany	0
2	1960	West Germany	0
2	1964	West Germany	0
2	1968	West Germany	49
2	1972	West Germany	96  
2	1976	West Germany	75
2	1980	West Germany	0
2	1984	West Germany	157
2	1988	West Germany	113
2	1992	West Germany	0
2	1996	West Germany	0
1	1948	East Germany	0
1	1952	East Germany	0
1	1956	East Germany	0
1	1960	East Germany	0
1	1964	East Germany	0
1	1968	East Germany	51
1	1972	East Germany	148
1	1976	East Germany	192
1	1980	East Germany	260
1	1984	East Germany	0
1	1988	East Germany	174
1	1992	East Germany	0
1	1996	East Germany	0
3	1948	Germany	0
3	1952	Germany	40
3	1956	Germany	0
3	1960	Germany	0
3	1964	Germany	0
3	1968	Germany	0
3	1972	Germany	0
3	1976	Germany	0
3	1980	Germany	0
3	1984	Germany	0
3	1988	Germany	0
3	1992	Germany	198
3	1996	Germany	124
4	1948	Russia	0
4	1952	Russia	0
4	1956	Russia	0
4	1960	Russia	0
4	1964	Russia	0
4	1968	Russia	0
4	1972	Russia	0
4	1976	Russia	0
4	1980	Russia	0
4	1984	Russia	0
4	1988	Russia	0
4	1992	Russia	0
4	1996	Russia	115
5	1948	Soviet Union	0
5	1952	Soviet Union	117
5	1956	Soviet Union	169
5	1960	Soviet Union	169
5	1964	Soviet Union	174
5	1968	Soviet Union	188
5	1972	Soviet Union	211
5	1976	Soviet Union	285
5	1980	Soviet Union	442
5	1984	Soviet Union	0
5	1988	Soviet Union	294
5	1992	Soviet Union	0
5	1996	Soviet Union	0
6	1948	United States of America	148
6	1952	United States of America	130
6	1956	United States of America	118
6	1960	United States of America	112
6	1964	United States of America	150
6	1968	United States of America	149
6	1972	United States of America	155
6	1976	United States of America	155
6	1980	United States of America	0
6	1984	United States of America	333
6	1988	United States of America	193
6	1992	United States of America	224
6	1996	United States of America	260